tweet_text,label
"b'@asumsico BPIP tu kerjanya ngapain sih.. mending bubarin aja, terus anggarannya dialihkan aja ke pemindahan ibukota.'",0
b'#coronadiantarakita trending .. \nviral \xf0\x9f\x91\x89 Anggaran Pemindahan Ibukota Negara harus terukur.. \n#SuaraParlemen https://t.co/09N7Skrdyw',1
b'Dress trending .. \nviral \xf0\x9f\x91\x89 Anggaran Pemindahan Ibukota Negara harus terukur.. \n#SuaraParlemen https://t.co/09N7Skrdyw',1
b'#ShopeeKpopWeekGiveaway trending .. viral \xf0\x9f\x91\x89 Anggaran Pemindahan Ibukota Negara harus terukur.. \nhttps://t.co/09N7Skrdyw',1
b'Mills trending .. \nviral \xf0\x9f\x91\x89 Anggaran Pemindahan Ibukota Negara harus terukur.. \n#SuaraParlemen https://t.co/09N7Skrdyw',1
"b'@Areefabdnas @IwanSumule86 Paling tidak dengan pemindahan Ibukota membatu para cukong untuk tidak menyelesaikan kewajiban reklamasi dan reboisasi hutan, dan dapat keuntungan menjual lahan utk hunian dan pertokoan...'",0
"b'@Donnypr07483812 @fahiraidris @Fahrihamzah @fadlizon Yg paling signifikan itu, anggaran untuk pemindahan ibukota baru, yg dialihkan untuk Kepentingan Rakyat banyak... \n#AniesKerenAbis \n#AniesKerenAbis'",1
b'Dragon Ball trending .. \nviral \xf0\x9f\x91\x89 Anggaran Pemindahan Ibukota Negara harus terukur.. \n#SuaraParlemen https://t.co/09N7Skrdyw',1
b'#ButuhAkadBukanCokelat trending .. \nviral \xf0\x9f\x91\x89 Anggaran Pemindahan Ibukota Negara harus terukur.. \n#SuaraParlemen https://t.co/09N7Skrdyw',1
b'Cara berpikir reaktif dan pragmatis..  seharusnya utk mengurangi urbanisasi itu dengan melakukan pemerataan pembangunan.. kita bangun desa2 menjadi kota2 kecil yg nyaman ditinggali...  pemindahan ibukota adalah salah satu langkah besar utk itu.. paham Nies!! Asal njeplak aja sih! https://t.co/9EM34C0Of3',1
b'@pecintamilooo Membahas masalah rencana pemindahan ibukota',1
"b'@UyokBack Saya kira pemindahan ibukota akan batal, dan Jakarta makin cantik, makanya gk jadi pindah.. \nIngat beliau bicara fakta, tetapi selalu kebalikannya... Gak impor, ternyata impor.. Pakai lokal, ternyata pakai luar, gak utang, ternyata utang.. Studi banding.. Hmm.. Gitu lah... \xf0\x9f\x99\x8f\xf0\x9f\x98\x94'",0
b'7 Arahan Presiden Jokowi pada Rapat Terbatas mengenai lanjutan persiapan pemindahan ibukota\n\n#BhinekaTunggalIka #NKRIHargaMati #KitaSatuIndonesia #PapuaIsIndonesia #Jokowi #IndonesiaMaju https://t.co/sbwbSOU4k0',1
"b'@kandargalang @basuki_btp tapi kalo Ahok sekarang ditanya lagi tentang Pemindahan Ibukota, belum tentu sama.. bisa2 dia mendukung.'",0
b'7 Arahan Presiden Jokowi pada Rapat Terbatas mengenai lanjutan persiapan pemindahan ibukota\n\n#BhinekaTunggalIka #NKRIHargaMati #KitaSatuIndonesia #PapuaIsIndonesia #Jokowi #IndonesiaMaju #KawalKebijakanJokowi #SayaBersamaJokowi #KamiBersamaJokowi #RakyatBersatuNKRIMaju https://t.co/QErrPwOc6l',1
b'@marlina_idha @aniesbaswedan Tanggapan Ahok ketika ditanya soal pemindahan ibukota https://t.co/ICGfB66QxL',1
b'RUU Omnibus Law mendukung percepatan pemindahan ibukota https://t.co/FsDpsvz4a2',1
"b'@BahriAsri @CH_chotimah @felixsiauw ko enak temen mas,timbang nyangoni kangho ape nilik i ISIS mending tak ngo mbangun pemindahan ibukota indonesia.'",1
"b'Ditanya camer ttg Pemindahan Ibukota, Perkembangan Ekonomi Pertanian, dan Kurikulum Pendidikan di Indonesia (beserta permasalahan2nya) \xf0\x9f\x98\x82 ane mesti jawab jujur nih??'",1
"b'Ahok mampu mengurai masalah sedang Anies hanya menambah masalah, untuk saat ini pemindahan ibukota adalah realistis. Jakarta tidak mampu lagi menampung beban 10 tahun kedepan. https://t.co/BIzQbF5nSf'",0
b'Presiden Jokowi Gelar Ratas Lanjutan Rencana Pemindahan Ibukota https://t.co/xHHjk0k6yJ',1
"b'@Shda_Agatha @Vivittts Lo sibuk banget ngurusin event di DKI,Lo punya KTP DKI ga ?? Kerugian negara triliunan rupiah dan pemindahan ibukota,kog ga sekalian Lo resehin ?? Punya otak ga buat mikir,hotel"" rumah makan dan pedagang akan di banjiri rejeki oleh kunjungan tamu dan peserta formula E'",0
"b'@FerdinandHaean2 @jokowi Beliau bilang, dalam video yang sengaja dipotong itu, bahwa pemindahan ibukota bukan karena Jakarta macet. kalau cuma karena macet, solusinya gampang tanpa harus memindahkan ibukota. Artinya pemindahan ibukota itu punya dasar pemikiran yang lebih dari itu.'",1
"b'@Shda_Agatha @Vivittts Setiap event internasional itu udah jelas ada dana nya utk tuan rumah,coba protes pake data,yg skala nasional dalam pemindahan ibukota dana nya dari mana,dari Jkw ya ??? Bukan nya masih banyak rakyat yg butuh perhatian pemerintah,alokasikan dana nya buat kesejahteraan rakyat'",1
"b'@DonAdam68 @sandalista1789 Apa benar ini sahabat pak @jokowi katakan pemindahan ibukota melihat ada masalah, lari dari masalah?????? Waktu mencalonkan gubernur memang gak terpikirkan persoalan di ibukota DKI? \xf0\x9f\xa4\x94'",0
b'Dukung #OmnibusLaw \nMendukung Pemindahan Ibukota.\n\n#PENTAGON #NeoZone https://t.co/wUmdzfXAYc',1
b'Tolong buat orang yg pro pemindahan Ibukota dengerin kata pak @basuki_btp nih. #TolakIbukotaBaru https://t.co/JX1iGj6HDz',0
b'@Riez_Prajogo_Jr @AbyAlan_ @CH_chotimah https://t.co/z3hhEyyN45\nPresiden sebelumnya Soekarno ingin melakukan pemindahan Ibukota negara tetapi ditunda karena Soekarno memilih menjadi tuan rumah seagames yang pertama bagi Indonesia. Please read. Sejarah itu penting.',1
b'@AkalMerdeka @DemokrasiHitam Kenapa gak menolak pemindahan ibukota baru.',0
b'@dithachairani Sini ikut kajian pemindahan ibukota.. https://t.co/sRPIWcyHuE',1
"b'Itu pak Joko Widodo udh bilang ""buat apa jauh2 studi banding ke luar negeri, krn skg bisa diakses lewat smartphone"" tapi pak Jokowi malah ngeyel studi banding ke Australia soal rencana pemindahan ibukota.Pak Jokowi gk ada takutnya sama pak Joko Widodo\xf0\x9f\x99\x84?\ncc @PDI_Perjuangan https://t.co/eVJuGyUewE'",0
"b'Gak paham sama orang yang bisa telponan berjam-jam sama pacarnya, itu yang dirembug apaan sih? Rencana pemindahan ibukota kabupaten trenggalek?'",0
b'pengen tau penaklukan era umayah oleh era abasiyah. tentang bagaimana bahgdad menjadi central pengetahuan dunia dan pemindahan ibukota damaskus (suriah) ke irak.',1
b'PEMINDAHAN IBUKOTA DIPERCEPAT JADI 2020? INI PENJELASAN MENDAGRI.\n#TauCepatTanpaBatas\nhttps://t.co/vPpPwwaZRd',1
"b'@feiraariani Neng bagian alasan pemindahan ibukota kui coba diulas meneh + ditambahkan kenapa jakarta tidak bisa dipertahankan sebagai ibukota, faktor2 apa yang melatar belakangi pemindahan dilihat dari kerentanan jakarta saat ini'",1
b'wacana pemindahan ibukota jakartah ke kalimantan adalah wacana yang dicanangkan semenjak pemerintahan president Soekarno masih berkuasa. Latar belakang apa yang menjadi dasar masih dikaji hingga didapat satu alasan kuat bahwa ibukota Negara harus pindah.',1
"b'@RinjaniJB @jokowi Terlepas dari kekurangan menteri periode kedua, dimana masih banyak waktu untuk mengkoreksi, Pak Jokowi sudah berbuat banyak untuk kemajuan bangsa. Masyarakat bisa menikmati infrastruktur jalan tol dan lainnya. Warisan Pak Jokowi yang fenomenal adalah pemindahan ibukota.'",1
"b'Umat Islam Indonesia jangan terkecoh dengan riak ekonomi dan politik kontemporer seperti Pemindahan Ibukota, Virus Corona, dan Terowongan Istiqlal - Kathedral, secara yang menjadi Grand Design Indon\xc3\xa9sia bagi mereka adalah Skenario Singapura dan Skenario Uyghur.'",0
b'Presiden Jokowi Gelar Ratas Lanjutan Rencana Pemindahan Ibukota https://t.co/DCKdawPU00',1
b'@jokowi Ignasius Jonan ketua Badan pemindahan ibukota RI',1
"b'@OpanMin0n Ditengah maraknya indonesia dengan berbagai kasus ini pemerintah malah mau mempercepat pemindahan ibukota, yg pada dasanya hanya untuk menguntunfkan pihak tertentu\n\n#JKWpemimpinGagal \n#JKWpemimpinGagal'",0
b'@AntoniRaja @PSI_Jakarta @DKIJakarta Mending biaya pemindahan ibukota baru buat penanggulangan bencana di Indonesia \xf0\x9f\xa4\xa3',1
"b'APA URGENSINYA NGOTOT KEBUT PEMINDAHAN IBUKOTA ?\n\nPadahal perekonomian makin nyungsep, kas negara jebol, APBN defisit, hutang membengkak, pengangguran semakin banyak, dll. \n\nPemerintah punya standar tolok ukur kebijakan gak sih ?'",0
"b'@detikcom Kira2 logika ini bisa dipakai pada kasus ""ekonomi mandek 5% dsarankan pemerintah membatalkan pemindahan ibukota guna menaikan kesejahteraan rakyat"" ga yah?'",1
b'Jokowi Yakin 2024 Pemindahan Ibukota Sudah\xc2\xa0Terlaksana https://t.co/wLrqRgSrRW https://t.co/kzPzN89eTk',0
"b'Memandang Penajam Paser Utara waktu itu anda tidak bertanya pada masyarakat adat paser balik &amp; warga lokal, apa pemindahan ibukota itu baik ?\n\nAnda tidak bertanya bagaimana awal mula masyarakat menetap &amp; bertahan hidup, bagaimana anda bisa merasa bisa ibukota baru ini dikelola ? https://t.co/foAJqgMGe0'",0
"b'Bapak gue masih suka debat sama gue wkwk (maksudnya debat tntng masalah pemindahan ibukota misal wkwk)\nJadi ceritanya, Dosennya bapak gue lagi jelasin, trus mungkin karena penjelasan dosennya menurut bapak gue kurang akurat.\nDan terjadilah perdebatan antara bapak gue dan dosennya'",0
"b'@KakekHalal @aniesbaswedan Semangat pak @aniesbaswedan \nSetidaknya kalo sampai 2 periode, anda ikut andil membantu dalam pemindahan ibukota negara \xf0\x9f\x99\x8f'",1
b'Pengalaman pemindahan dan pembangunan Ibukota Australia diharapkan dapat memperkaya wawasan bagi pembangunan Ibukota baru \xf0\x9f\x87\xae\xf0\x9f\x87\xa9\n\n#inidiplomasi #indonesianway https://t.co/P1Mflc0sNv',1
"b'Cerita seperti ini juga yang harus diketahui khlayak RAKYAT.\nPemindahan Ibukota itu MEKANISMENYA bagaimana?\nTernyata UU nya blm ada, RUU apalagi. Kalau sekedar wacana, ya gak usah RIBUT dl lah.\nFEASIBILITY STUDY sdh blm? https://t.co/IfiyZjwq8k'",1
b'@batasnaluri Virus Corona menyerang..\n\nBandar TEKOR..\n\nPemindahan Ibukota..\xe2\x9d\x93\n\nDibatalkan..\xe2\x9d\x97',0
b'@CNNIndonesia Rakyat indonesia menolak pemindahan ibukota baru',0
"b'GAMKI Dukung Pemindahan Ibukota, Wujud Indonesia\xc2\xa0Sentris https://t.co/8O8y9d3S7X https://t.co/3xbXIXuDtu'",1
b'@RamliRizal @jokowi Siapa menanam angin pasti akan menuai badai. Siapa yang suka ngutang pasti pusing tujuh keliling bayar pokok dan bunga pinjaman.\nTUNDA DULU NGUTANG UNTUK PEMINDAHAN IBUKOTA.',0
b'Dan tidak kalah penting mencarikan solusi DKI sbg Ibukota Negara dari bencana BANJIR.\nBanjir dipelupuk mata tp sedikitpun anda tidak berani berkomentar. Ketika rencana pemindahan Ibukota Negara diberitakan anda keras menolak.\nDKI banjir anda seakan tak berdaya utk komentar. NAIF! https://t.co/FzOnTbvNMx',0
"b'Maaf, Jokowi itu tidak butuh dukungan menolak ex ISIS, beliao kan ""Tiada punya beban"", seperti contohnya adalah pemindahan ibukota juga TIADA BUTUH SUARA RAKYAT, kitalah yang butuh NKRI aman sentosa sejahtera ..\n#NKRIhargamati \xf0\x9f\x87\xae\xf0\x9f\x87\xa9 \n#TolakEksISIS https://t.co/O83JQTCSf6'",0
b'ROCKY GERUNG &amp; FAISAL BASRI KOMPAK KRITIK JOKOWI SOAL IBUKOTA BARU INDONESIA\n#rockygerung #faisalbasri #jokowi #jokowidodo #IbuKotaNegara #Indonesia \nhttps://t.co/Q8AY0SRSba via @tribunpontianak',0
b'@republikaonline Pemindahan ibukota bukti janji palsu jokowi sebelum jadi presiden',0
b'Presiden Jokowi Gelar Ratas Lanjutan Rencana Pemindahan Ibukota https://t.co/ddkxI1yBTu',1
"b'@Namaku_Mei Sejak jaman belanda kota batavia/jakarta skrg sdh pny predikat kota jorok, penyakit disentri &amp; kolera mewabah, tk layak ibukota\nMaka dr itu mari kita mendukung pemindahan ibukota oleh pemerintah \nhttps://t.co/0vyviXutPe'",0
b'@unilubis Inilah calon ibukota baru itu ?',1
b'@TokenListrikmu Kayak anak2. Kalah d ibukota truz emaknya bikin ibukota baru buat dia' ,0
b'@aliimronm77 @sjahtie Om sudah survey lahan yg akan dijadikn calon ibukota baru yaa...klo blum pernah main ke Kalimantan mending ngak usah nyinyir spt emak2\xf0\x9f\xa4\xa3' ,0
b'@JacksQuevara @TofaTofa_id @DennyJA_WORLD Survey konon kabarnye dilakukan di gorong2 dan di wilayah calon Ibukota Baru.\xf0\x9f\x99\x88\xf0\x9f\x99\x89\xf0\x9f\x99\x8a' ,0
b'@fadlizon @jokowi Santai Zon.... Kayaknya toilet umum di sudut ibukota baru  belum ada yang jaga. Barangkali saja minat dan cocok ... Bareng aku ya nglamarnya',0
"b'@GHiugo Tahun lalu kl tidak salah ke Jepang belajar tata pemindahan, bisa jadi nanti akan memimpin Ibukota Baru'",0
"b'@D4tuk_T4mburin @jokowi : jangan ngawur lah kalau bicara,kalau Cina distop juga,trus siapa yg mau biayai ibukota baru?' ",0
"b'FadlibZon : Luar biasa Pak Jokowi ini memang percaya n sayang pd Ahok. Dlm situasi ekonomi kacau n virus corona, ibukota baru bukanlah prioritas.\n\n#ibuKotabaru #FadliZon #PresidenJokoWidodo #Jokowi #BasukiTjahayaPurnama\n\nhttps://t.co/XT4wJKfBKC' ",1
"b'@sjahtie @BadjaNuswantara Lha... \nKalian udeh hidup enak di JKT ngapain urusin ibukota baru?, ngurusin Ahok segala. \nKalian siapa? \nGerombolan bangke yg gak jelas arah hidupnya.'",1
"b'@detikcom Yg dipindahin ibukota malah dia yg urusin, pilihan pemimpin ibukota baru ada #Ahok malah mereka yg gak mau.\nTerus maunya apaaaaa https://t.co/04GdiEfaqV'",1
b'@sjahtie Yaa..jgn ganggu daerah Ibukota baru...cukup Jakarta sj yg kalian rusuhin dan ganggu.',1
"b'@MCAOps Seharusnya orang asli kalimantan yg pimpin Ibukota yg baru, bukan simulut Jamban Ahok'",0
"b'@KakekHalal jangan gentar @jokowi , ini demi ibukota yg lebih baik. jangan dengerin omongan mereka kalo tidak mau ibukota baru seperti jakarta sekarang ini. @BappenasRI maju terus pantang munduuuurrr. #rakyatsudahcerdas'",1
"b'@fadlizon Muak, Ahok itu barang basi dipoles terua.  Dulu jadi gubernur juga warisan sekarang mau ditunjuk pimpin ibukota baru. Bukannya mikirin ekonomi tapi timbulkan kegaduhan terus nih.'",0
b'@Fahrihamzah ibukota baru',1
b'@01Hariyan @P3nj3l4j4h_id Pengen ikoot pindahan juga apa kadroon 212 ke ibukota baru? \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad',0
b'@R3sta_305 ahok jadi pimpinn di ibukota baru?\nMati sebelum bertindak tuh orang' FaisalF17525613,0
b'@zarazettirazr Eeeh siapa tau ibukota baru bisa dibikin dlm waktu semalam kayak candi roro jonggrang\xf0\x9f\x98\x82\xf0\x9f\x98\x82',1
b'Twt baru ditinggal bentar udh ada kabar pak BTP jd kandidat pemimpin ibukota baru ae wkwkkw',1
"b'@zarazettirazr seandainya ibukota baru blm selesai trus jokowi lengser keprabon, apakah bakal diteruskan? \xf0\x9f\x98\x86 \xf0\x9f\x98\x86'",0
b'Kan ngurusin Jakarta ngapain mau ngurusin ibukota yang baru sih pak https://t.co/eCvdcpNPgp',1
b'@sjahtie Kn ibukota kadrun monas...  knp ikut ngurusi ibukota baru',0
"b'Kalo gak suka, nanti datang demo di Ibukota Baru ya. Palingan seperti si kakek Dengkul, baru turun pesawat kabut dihadang orang Dayak https://t.co/SJVVkZVOr6'",0
"b'Ibukota baru memerlukan sosok gubernur yg jujur dan tegas,  dan itu ada dlm diri pak Ahok ..semoga pak ahok @basuki_btp  Terpilih jdi gubernur di ibukota baru.. Aamin\n\n#RakyatBersatuLawanCorona https://t.co/CHiV4BXixa'",1
"b'@Hanifah933 @Andini_932 Siap kedatangan statment ""Jokowi resmikan ibukota baru hanya untuk Ahok"" &amp; statment2 sampah lainnya.'",0
b'@detikcom Emg loe mau pindah jga ke ibukota baru?? \xf0\x9f\x98\x80\xf0\x9f\x98\x80\xf0\x9f\x98\x80\xf0\x9f\x98\x80',1
b'@Fahrihamzah Bisnis ibukota baru',0
"b'@detikcom Ini Mujahid 212 kok hebat sekali ya ? Menolak pembangunan Ibukota baru, menolak Ahok untuk ikut terlibat dipembangunan Ibukota baru, mungkin merasa paling berkuasa di nkri  ini ?'",0
"b'Makin bertahan dgn kondisi Ibukota sprti ini? Kepadatan penduduk, polusi, banjir, macet. Sudah saatnya siapapun pemimpinnya merencanakan pemindahan ibukota baru.\nYg bukan prioritas adalah penyelenggaraan formula E dgn anggaran jumbo yg shrusnya bsa ut tangani banjir ibukota. https://t.co/XAjdOjV6SO'",1
"b'212 ga setuju ibukota pindah.\n212 ga setuju Ahok jadi pejabat diibukota baru nanti.\n\nHelloo....\n\nEmangnya kalian siapa, penting ?\nPede amat jadi orang ya drun ?\n\nGila lu yaa...\xf0\x9f\x98\x81'",0
"b'Tak mampu bertarung di Ibukota DKI Jakarta, dibuatlah Ibukota Baru. \n\n#iDeasRabbani'",0
b'@1504ers Lanjuuut. Ntar kalean demonya kesono ya... Di ibukota baru Wkkkkkk.....',0
b'@detikcom mahal pan transepornya kl demo ke ibukota baru..',0
"b'Baru dibahas kan, emang bang Johnny ini nak hits ibukota. Update daily activity teross yaa\n https://t.co/X7RqF0SxUN'",0
"b'@martabaya @zarazettirazr @KemenPU Dana KCP tarik ke IBUKOTA BARU, mn yg lebih untung, Anda bukan pedagang sih mn ngerti...'",0
b'@VIVAcoid Hebaaaat....!!!!!\nPUTRA BANGSA yg TERBAIK Abad ini....!!!\nDialah sosok yg tak tergantikan KEBERSIHAN &amp; KESUCIAN nya dalam segala hal.\nSehingga Negara akan memberikan TAMBAHAN PENGHARGAAN dgn di buatkan nya IBUKOTA BARU utk dia.\n\nYg lain besok NUMPANG sama dia !\n\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x98\xa1',0
b'@cagubnyinyir2 @P_Eneste @BossToukeeIsa Bilangin sm si ikan buntel ini ada urusan apa dia sm nenek moyangnya kalo Ahok yg ditunjuk Jokowi jd kepala badan otorita ibukota baru',0
"b'@msaid_didu Kalah di ibukota, dibuatkan lah ibukota baru. \nPakai APBN??'",0
"b'@fadlizon @jokowi Bukan nya terimakasih malah mengolok, kurang enak bijimana. Dibuatin Ibukota baru dan pembangunan nya terjamin oleh sosok ahok.'",0
b'Manusia diciptakan mempunyai otak buat berpikir\nMw di Jakarta terus biar demo lancar kan \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\n(seminggu banjir sekali)\nIbukota baru blm jg di design udah di bacotin https://t.co/lYsx0VMrk1',1
"b'@Je_Ly @jokowi @basuki_btp beruntunglah ibukota baru py pemimpin kayak Ahok! Lanjutkan pak Jkw, cari pejabat yang bersih dan kompeten.'",1
"b'Calon Gubernur Ibukota Baru, Fadli Zon: Jokowi Luar Biasa Sayang Ahok https://t.co/Vq3IW889CD'",0
b'@AdiHaryawan @hnurwahid Benar kalau ini. Yang penting ibukota yg baru ditata dengan rapi dan direncakan sebaik mungkin. Capek liat Jakarta banjir terus',1
"b'@zarazettirazr kaya developer angkat pimpinan ya.\nKalau ibukota baru,bukannya nanti tetap harus ada pilkada'",1
"b'@VIVAcoid Wajar!\nKarena yang jadi sponsor utama ibukota baru,\nMoyang nya!\nPolitik balas Budi!'",0
"b'Subhanallah..\n\nRedaksi &amp; owner Vivanews pasti sdh tau, paham, Ibukota baru RI di Penajam bukan buat Ahok, Anies, AburizalBakrie ataupun Sri Mulyani. Tapi buat seluruh Rakyat, Sabang sampai Merauke.\n\nBuat judul spt ini maksudnya apa ya? https://t.co/YWAFfigDf5'",1
"b'2024\nPresiden RI @ganjarpranowo \nGubernur Jakarta @Tri_Rismaharini \nIbukota baru @basuki_btp \n\nMonggo di vote, Ritwitt dan komentar ya gess...\xf0\x9f\x98\x89'",1
"b'@ratihhhws sepulang dari , ibukota baru \xf0\x9f\x98\x85 https://t.co/5pzeCyB36Z'",1
b'ahok jadi ceo ibukota baru dan merangkap komut pertamina... pertinyiin saia adalah... cuma dia yang mampu yg lain orang indonesia kagak bisa...',0
b'@JohnIrwan4 Kalau ahok jadi pimpinan ibukota baru gak bisa demo berjilid2  orderan sepi lah',0
"b'@P_Eneste @detikcom @jokowi Sebenernya Ahok Masih di Butuhkan Di BUMN, sayangnya Ahok Cuma 1 \nCoba Ada 3 ya? \n1 di BUMN \n1 di KPK\n1 di Otorita  Ibukota Baru \xf0\x9f\x98\x81'",1
"b'keliwat oon, formula E yg didepan mata dan tak ada guna serta cm bbrp jam didiamkan, ibukota baru yg utk kepentingan anak cucu diprotes. hadeeh\xf0\x9f\xa4\xa6\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f https://t.co/TQ4qEUAuIb'",1
b'Semiloka Perspektif Ibukota Negara Baru dan Sosialisasi 4\xc2\xa0Pilar https://t.co/1SUDFYxSXh https://t.co/l4joFNysLO',1
b'@detikcom insyaallah ditangan Pak BTP Ibukota baru semakin Maju.',1
b'@detikcom Tenang Bang nanti di ibukota baru di sediakan khusus tempat Demo ...lebih gede dari monas...\xf0\x9f\x98\xa9\xf0\x9f\x98\xa9',0
b'@detikcom Kaum onta gak usah ke ibukota baru biar aja main air di ibukota lama',0
b'@fadlizon Dukung pk #fadlizon jd ceo ibukota baru',1
b'@rhiyarhia @detikcom Emg mreka2 ini uda yakin bgt bakalan jd warga ibukota baru? \xf0\x9f\x98\x9c',0
b'Ayookkk....\nKita aminkan dulu \xf0\x9f\x98\x89\xf0\x9f\xa4\xa9\n\nSmoga pak @jokowi pilih koh Ahok @basuki_btp.\nAmin \xf0\x9f\x99\x8f\n\nIbu kota baru akan dikelola khusus o/ sebuah badan otorita. Pemimpin otorita ditunjuk &amp; bertanggung jawab langsung kepada Presiden.\n\n*Bisa dibayangkan Ibukota bakal terjaga*\xf0\x9f\x91\x8d https://t.co/AAq6J82DIY',1
b'Memberikan posisi Hoax strategis di BUMN tujuannye membangun kembali kepercayaan publik for ibukota baru \xf0\x9f\x98\x8a',0
b'Ooowwwwhhhh \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x83\n\nMemberi hadiah dgn mengkapling indonesia dan  beban biaya ditanggung seluruh rakyat indonesia pada investor......\n\nItu mah bukan mindahin ibukota. Tapi dibuat kan negara baru dlm negara..\n\nTAI emang bau nya mematikan https://t.co/VSkFblYRVa',0
"b'Gerombolan ini sakit apa yaaa??\xf0\x9f\x98\x82\xf0\x9f\x98\x82 .. Ga suka Ibukota pindah,tpi masih nolak ginian\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x93\xa3\xf0\x9f\x93\xa3\xf0\x9f\x93\xa3\xf0\x9f\x93\xa3\xf0\x9f\x93\xa3PEKOKkkkkkkk https://t.co/4s2ZGMY8sm'",1
b'@hnurwahid Lanjut ibukota baru.....abaikan kadrun pada nyinyir....',1
b'Ibu kota baru tidak akan pernah terjadi ingat sejarah Soekarno tidak bisa memindahkan ibukota ada hal yang tidak bisa di pikir secara akal.indonesia akan mengalami perpecahan jika ibu kota negara pindah https://t.co/J4jk81Oh0j',0
"b'@Berkarya_Info Kalau bilang gitu,ga jadi dong pinjaman buat ibukota baru \xf0\x9f\x98\x81\xf0\x9f\x98\x81\n#Eh'",0
"b'@detikcom Jelas menolak mereka, jauh soalnya harus ke ibukota yang baru kalo mau adain aksi lagi'",0
b'Trus ente gitu yg harus kudu mimpin IBUKOTA BARU ?! \xf0\x9f\xa4\xaa\n\nMinim prestasi GEDE NGATUR DOANG ... \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\n\n #RakyatBersatuLawanCorona\n\n \xc2\xa9 @Andini_932\n\nhttps://t.co/4pTfCogtyx',0
b'@fadlizon @msaid_didu @jokowi Apa dengan ibukota baru indonesia jadi makmur' iwan_hendratno,0
